avaturn	Uaekiz/Avaturn	https://github.com/Uaekiz/Avaturn	a Unity project that responsible for character selection	0
avaturn	Matheussf01/avaturn	https://github.com/Matheussf01/avaturn		0
avaturn	Troopak31/Avaturn	https://github.com/Troopak31/Avaturn		0
avaturn	JulioRobot/webgl_avaturn	https://github.com/JulioRobot/webgl_avaturn	testing build avaturn webgl	0
avaturn	NaveenDevaraj369/Avaturn	https://github.com/NaveenDevaraj369/Avaturn		0
avaturn	briandcruz67/https-github.com-avaturn-avaturn-unity-examples	https://github.com/briandcruz67/https-github.com-avaturn-avaturn-unity-examples		0
avaturn	avaturner/avaturner_info	https://github.com/avaturner/avaturner_info		0
avaturn	Paulo-Mansano/Exemplo-Avaturn	https://github.com/Paulo-Mansano/Exemplo-Avaturn		0
avaturn	riocabalda/avaturn-model	https://github.com/riocabalda/avaturn-model		0
avaturn	InprisAI/avaturn-d	https://github.com/InprisAI/avaturn-d		0
avaturn	jorgelcff/avaturn-threejs	https://github.com/jorgelcff/avaturn-threejs		0
avaturn	gaojinjin/avaturn-unity-examples	https://github.com/gaojinjin/avaturn-unity-examples		0
avaturn	muhammadsaadkhankor/avaturn-sdk	https://github.com/muhammadsaadkhankor/avaturn-sdk		0
avaturn	Onixile/avaturn-workflow-web	https://github.com/Onixile/avaturn-workflow-web		0
avaturn	BillyBob36/avaturn-escape-game	https://github.com/BillyBob36/avaturn-escape-game		0
avaturn	SalmanSection/avaturn-server	https://github.com/SalmanSection/avaturn-server		0
avaturn	MuhammadUsamaAwan/avaturn-sdk-integrate	https://github.com/MuhammadUsamaAwan/avaturn-sdk-integrate		0
avaturn	malaikaaaaaaaa/avaturn-vr-bridge	https://github.com/malaikaaaaaaaa/avaturn-vr-bridge		0
avaturn	CarlUpright/mixamo_moveset_4_avaturn	https://github.com/CarlUpright/mixamo_moveset_4_avaturn		0
avaturn	avaturn/avaturn-unity-sdk-core	https://github.com/avaturn/avaturn-unity-sdk-core		0
avaturn	avaturn/avaturn-unity-sdk-installer	https://github.com/avaturn/avaturn-unity-sdk-installer		1
avaturn	SudipPrusty/Virtual-Zoo	https://github.com/SudipPrusty/Virtual-Zoo	Offers an immersive VR journey into the past, featuring extinct species in their natural habitats. Powered by Unity3D, Open XR, XR Interaction Toolkit, Blender, Figma, Photoshop, Firebase (for authentication), and Avaturn (for avatars)	0
glb editor	S-Brand5136/GLB-Editor	https://github.com/S-Brand5136/GLB-Editor	A React App for viewing and editting 3D models of various formats. Currently supports drag and drop viewing of GLTF and GLB files with more features to come in the future	8
glb editor	wonglok/glb-editor	https://github.com/wonglok/glb-editor	multiverse-renderer	1
glb editor	reallaksh19/GLB-Editors	https://github.com/reallaksh19/GLB-Editors		0
glb editor	nickitey/glb_editor	https://github.com/nickitey/glb_editor		0
glb editor	ojthexa/glb-editor	https://github.com/ojthexa/glb-editor	glb	0
glb editor	josbherdd/Dot-GLB-Editor	https://github.com/josbherdd/Dot-GLB-Editor	Upload your .glb model and edit textures.	0
glb editor	bluedragonvnbiz/myroom-glb-editor-package	https://github.com/bluedragonvnbiz/myroom-glb-editor-package		0
glb editor	10Abdullatif35/3D-Fbx-Glb-Editor	https://github.com/10Abdullatif35/3D-Fbx-Glb-Editor		0
